


:
  TF-Se-2-2018-01-15, 30.05.2005 07:42:59
:
       Index           t          Ts          Tr       Value
                     [s]        [°C]        [°C]        [mg]
           0           0     14.1308          25     6.45676
          11          11     13.9934          25     6.45697
          22          22     13.9075          25     6.45638
          33          33     13.8209          25     6.45623
          44          44     13.7949          25     6.45635
          55          55     13.7597          25     6.45611
          66          66     13.7356          25     6.45637
          77          77     13.6998          25     6.45628
          88          88     13.6666          25     6.45627
          99          99     13.6608          25     6.45614
         110         110     13.6211          25     6.45621
         121         121     13.6159          25     6.45602
         132         132     13.5807          25       6.456
         143         143     13.5879          25     6.45602
         154         154     13.5859          25      6.4558
         165         165     13.5684          25     6.45581
         176         176     13.5697          25     6.45586
         187         187     13.5658          25     6.45592
         198         198     13.5469          25     6.45571
         209         209     13.5423          25     6.45573
         220         220     13.5202          25     6.45546
         231         231      13.528          25     6.45554
         242         242      13.513          25     6.45543
         253         253     13.5169          25     6.45547
         264         264     13.5222          25     6.45536
         275         275     13.5065          25     6.45515
         286         286      13.502          25     6.45534
         297         297     13.5052          25     6.45468
         308         308     13.8438     25.6667     6.45462
         319         319       13.89     26.5833      6.4547
         330         330     13.9317        27.5     6.45424
         341         341     13.9935     28.4167     6.45403
         352         352     14.1146     29.3333     6.45382
         363         363     14.2019       30.25     6.45388
         374         374      14.334     31.1667     6.45362
         385         385      14.448     32.0833     6.45367
         396         396     14.5866          33     6.45356
         407         407     14.7357     33.9167     6.45353
         418         418     14.8848     34.8333     6.45336
         429         429     15.0437       35.75     6.45338
         440         440     15.1667     36.6667     6.45314
         451         451      15.308     37.5833     6.45293
         462         462     15.4558        38.5     6.45261
         473         473     15.6061     39.4167     6.45298
         484         484     15.7546     40.3333      6.4528
         495         495     15.8972       41.25     6.45247
         506         506     16.0586     42.1667     6.45236
         517         517     16.2038     43.0833     6.45244
         528         528     16.3477          44     6.45231
         539         539     16.5013     44.9167     6.45216
         550         550     16.6406     45.8333     6.45217
         561         561     16.8041       46.75     6.45138
         572         572     16.9401     47.6667     6.45149
         583         583     17.1166     48.5833     6.45114
         594         594     17.2331        49.5     6.45106
         605         605     17.3633     50.4167       6.451
         616         616     17.5235     51.3333     6.45086
         627         627     17.6706       52.25     6.45078
         638         638     17.8249     53.1667      6.4505
         649         649     17.9681     54.0833     6.45047
         660         660     18.0964          55     6.45033
         671         671     18.2259     55.9167      6.4501
         682         682     18.3841     56.8333     6.44973
         693         693     18.5098       57.75     6.44982
         704         704     18.6504     58.6667     6.44948
         715         715     18.8002     59.5833     6.44927
         726         726     18.9428        60.5     6.44877
         737         737     19.0808     61.4167     6.44851
         748         748     19.2142     62.3333      6.4483
         759         759     19.3373       63.25     6.44802
         770         770     19.4662     64.1667     6.44744
         781         781     19.5951     65.0833      6.4469
         792         792     19.7168          66     6.44632
         803         803     19.8412     66.9167     6.44553
         814         814     19.9915     67.8333     6.44519
         825         825     20.1126       68.75     6.44428
         836         836     20.2382     69.6667      6.4433
         847         847     20.3698     70.5833       6.442
         858         858     20.5091        71.5     6.44092
         869         869      20.623     72.4167     6.43984
         880         880     20.7265     73.3333     6.43826
         891         891     20.8814       74.25     6.43706
         902         902     21.0019     75.1667     6.43484
         913         913     21.0995     76.0833     6.43288
         924         924     21.2395          77     6.43048
         935         935     21.3489     77.9167     6.42797
         946         946     21.4635     78.8333     6.42452
         957         957     21.5722       79.75     6.42092
         968         968     21.7265     80.6667     6.41699
         979         979     21.8333     81.5833     6.41209
         990         990     21.9648        82.5     6.40668
        1001        1001     22.0683     83.4167     6.40062
        1012        1012     22.1809     84.3333     6.39335
        1023        1023     22.3112       85.25     6.38484
        1034        1034      22.403     86.1667     6.37514
        1045        1045     22.5443     87.0833     6.36391
        1056        1056     22.6478          88     6.35113
        1067        1067     22.7526     88.9167      6.3363
        1078        1078     22.8906     89.8333     6.31991
        1089        1089     23.0026       90.75     6.30134
        1100        1100     23.1113     91.6667     6.28038
        1111        1111      23.235     92.5833     6.25696
        1122        1122     23.3274        93.5     6.23098
        1133        1133     23.4511     94.4167     6.20233
        1144        1144     23.5722     95.3333     6.17084
        1155        1155     23.6725       96.25     6.13654
        1166        1166     23.7642     97.1667     6.09979
        1177        1177     23.8749     98.0833     6.06025
        1188        1188      23.981          99     6.01934
        1199        1199     24.0871     99.9167     5.97605
        1210        1210     24.1991     100.833     5.93251
        1221        1221     24.3059      101.75      5.8884
        1232        1232     24.3964     102.667     5.84437
        1243        1243     24.5122     103.583     5.80191
        1254        1254      24.589       104.5     5.76059
        1265        1265     24.6848     105.417      5.7219
        1276        1276     24.7974     106.333     5.68614
        1287        1287     24.8977      107.25     5.65325
        1298        1298     24.9817     108.167      5.6239
        1309        1309     25.1029     109.083      5.5976
        1320        1320     25.2038         110     5.57477
        1331        1331     25.2813     110.917     5.55493
        1342        1342     25.3536     111.833     5.53763
        1353        1353     25.4519      112.75     5.52345
        1364        1364      25.558     113.667     5.51149
        1375        1375     25.6447     114.583     5.50277
        1386        1386     25.7534       115.5     5.49667
        1397        1397     25.8289     116.417     5.49336
        1408        1408     25.9258     117.333     5.49152
        1419        1419     26.0059      118.25     5.49106
        1430        1430     26.1133     119.167     5.49059
        1441        1441      26.183     120.083     5.49047
        1452        1452     26.2742         121     5.48996
        1463        1463     26.3484     121.917     5.48957
        1474        1474     26.4278     122.833     5.48968
        1485        1485     26.5209      123.75      5.4893
        1496        1496     26.6062     124.667     5.48908
        1507        1507     26.6954     125.583     5.48881
        1518        1518     26.7716       126.5     5.48862
        1529        1529     26.8549     127.417     5.48817
        1540        1540     26.9344     128.333     5.48773
        1551        1551     27.0302      129.25     5.48764
        1562        1562     27.0992     130.167     5.48742
        1573        1573       27.18     131.083     5.48693
        1584        1584     27.2529         132     5.48676
        1595        1595     27.3323     132.917     5.48662
        1606        1606     27.4313     133.833     5.48642
        1617        1617     27.4977      134.75     5.48597
        1628        1628     27.5906     135.667     5.48579
        1639        1639       27.67     136.583     5.48541
        1650        1650     27.7266       137.5     5.48542
        1661        1661     27.8138     138.417     5.48515
        1672        1672     27.8848     139.333     5.48495
        1683        1683     27.9583      140.25     5.48438
        1694        1694     28.0404     141.167     5.48423
        1705        1705     28.0815     142.083     5.48401
        1716        1716     28.1759         143     5.48387
        1727        1727     28.2364     143.917     5.48336
        1738        1738     28.3159     144.833     5.48378
        1749        1749     28.3862      145.75     5.48314
        1760        1760     28.4534     146.667     5.48283
        1771        1771     28.5126     147.583     5.48267
        1782        1782     28.5855       148.5     5.48227
        1793        1793     28.6728     149.417      5.4825
        1804        1804     28.7073     150.333     5.48181
        1815        1815     28.7749      151.25     5.48193
        1826        1826     28.8407     152.167     5.48165
        1837        1837     28.9064     153.083     5.48105
        1848        1848     28.9832         154     5.48106
        1859        1859     29.0458     154.917     5.48104
        1870        1870     29.0927     155.833     5.48047
        1881        1881     29.1487      156.75     5.48004
        1892        1892     29.2053     157.667     5.47996
        1903        1903       29.29     158.583     5.47987
        1914        1914     29.3408       159.5     5.47954
        1925        1925     29.4138     160.417     5.47956
        1936        1936     29.4731     161.333     5.47915
        1947        1947     29.5206      162.25     5.47892
        1958        1958     29.5928     163.167     5.47892
        1969        1969     29.6448     164.083     5.47848
        1980        1980     29.7144         165     5.47844
        1991        1991     29.7801     165.917     5.47786
        2002        2002     29.8426     166.833     5.47798
        2013        2013     29.8959      167.75      5.4778
        2024        2024     29.9539     168.667     5.47761
        2035        2035     30.0047     169.583     5.47692
        2046        2046     30.0899       170.5     5.47728
        2057        2057      30.129     171.417     5.47647
        2068        2068     30.1811     172.333     5.47633
        2079        2079     30.2324      173.25     5.47602
        2090        2090     30.2819     174.167     5.47572
        2101        2101     30.3484     175.083     5.47538
        2112        2112      30.381         176     5.47518
        2123        2123     30.4468     176.917     5.47501
        2134        2134     30.4943     177.833     5.47481
        2145        2145     30.5536      178.75     5.47462
        2156        2156     30.6023     179.667     5.47422
        2167        2167     30.6524     180.583     5.47378
        2178        2178     30.6901       181.5     5.47386
        2189        2189     30.7566     182.417     5.47342
        2200        2200     30.8158     183.333     5.47303
        2211        2211      30.836      184.25      5.4728
        2222        2222      30.879     185.167     5.47277
        2233        2233     30.9395     186.083     5.47215
        2244        2244      30.987         187     5.47211
        2255        2255     31.0332     187.917     5.47165
        2266        2266     31.0711     188.833     5.47106
        2277        2277     31.1186      189.75     5.47035
        2288        2288     31.1784     190.667     5.47069
        2299        2299     31.2025     191.583     5.47047
        2310        2310     31.2637       192.5     5.47006
        2321        2321     31.2897     193.417     5.46986
        2332        2332     31.3222     194.333     5.46946
        2343        2343     31.3711      195.25     5.46927
        2354        2354     31.4048     196.167     5.46893
        2365        2365     31.4529     197.083     5.46869
        2376        2376     31.5004         198     5.46846
        2387        2387     31.5343     198.917     5.46821
        2398        2398     31.5578     199.833     5.46774
        2409        2409     31.6163      200.75     5.46744
        2420        2420     31.6288     201.667     5.46732
        2431        2431     31.6946     202.583     5.46699
        2442        2442     31.7356       203.5     5.46675
        2453        2453     31.7877     204.417     5.46633
        2464        2464      31.834     205.333     5.46599
        2475        2475     31.8613      206.25     5.46593
        2486        2486     31.8885     207.167      5.4657
        2497        2497     31.9178     208.083     5.46492
        2508        2508      31.979         209     5.46489
        2519        2519      31.992     209.917     5.46477
        2530        2530     32.0428     210.833     5.46418
        2541        2541     32.0662      211.75     5.46398
        2552        2552     32.0981     212.667     5.46377
        2563        2563      32.143     213.583     5.46332
        2574        2574     32.1683       214.5      5.4631
        2585        2585     32.2008     215.417     5.46278
        2596        2596     32.2412     216.333     5.46243
        2607        2607       32.26      217.25     5.46213
        2618        2618     32.3023     218.167     5.46146
        2629        2629      32.316     219.083     5.46147
        2640        2640     32.3538         220     5.46127
        2651        2651     32.3974     220.917     5.46082
        2662        2662     32.4142     221.833     5.46055
        2673        2673     32.4572      222.75     5.46058
        2684        2684     32.4761     223.667     5.46007
        2695        2695     32.5112     224.583     5.45958
        2706        2706     32.5294       225.5      5.4592
        2717        2717     32.5711     226.417     5.45909
        2728        2728     32.5841     227.333     5.45904
        2739        2739     32.6082      228.25     5.45843
        2750        2750     32.6387     229.167     5.45814
        2761        2761     32.6595     230.083      5.4578
        2772        2772     32.6875         231     5.45744
        2783        2783     32.7045     231.917     5.45717
        2794        2794     32.7559     232.833     5.45694
        2805        2805     32.7807      233.75     5.45648
        2816        2816     32.8054     234.667     5.45624
        2827        2827     32.8132     235.583     5.45577
        2838        2838     32.8315       236.5     5.45537
        2849        2849     32.8596     237.417     5.45505
        2860        2860     32.8895     238.333     5.45466
        2871        2871     32.8999      239.25     5.45438
        2882        2882     32.9371     240.167     5.45416
        2893        2893     32.9514     241.083     5.45372
        2904        2904     32.9605         242     5.45327
        2915        2915      33.008     242.917     5.45331
        2926        2926     33.0256     243.833      5.4528
        2937        2937     33.0464      244.75      5.4523
        2948        2948     33.0673     245.667     5.45211
        2959        2959      33.079     246.583     5.45152
        2970        2970     33.0829       247.5     5.45125
        2981        2981     33.1167     248.417      5.4507
        2992        2992     33.1115     249.333     5.45025
        3003        3003     33.1513      250.25     5.44995
        3014        3014     33.1571     251.167     5.44947
        3025        3025     33.1805     252.083     5.44911
        3036        3036     33.2006         253     5.44878
        3047        3047     33.2059     253.917     5.44839
        3058        3058     33.2332     254.833     5.44769
        3069        3069     33.2508      255.75     5.44755
        3080        3080      33.267     256.667     5.44727
        3091        3091     33.2657     257.583      5.4466
        3102        3102     33.2937       258.5     5.44614
        3113        3113     33.3029     259.417     5.44558
        3124        3124     33.3303     260.333     5.44505
        3135        3135     33.3348      261.25      5.4448
        3146        3146     33.3584     262.167     5.44409
        3157        3157     33.3812     263.083     5.44358
        3168        3168     33.3904         264     5.44326
        3179        3179     33.3916     264.917     5.44275
        3190        3190     33.4358     265.833      5.4418
        3201        3201     33.4442      266.75     5.44134
        3212        3212     33.4748     267.667     5.44097
