Wavelength,50uM DMAP only,50uM Ebs only,25uM DMAP,50uM DMAP,75uM DMAP,100uM DMAP,200uM DMAP,300uM DMAP,400uM DMAP,500uM DMAP,600uM DMAP
199.79,-0.003,0.0324,0.053,0.047,0.0569,0.0535,0.0524,0.0187,0.0285,0.043,0.029
200.18,-0.0028,0.0322,0.0525,0.0485,0.0575,0.0546,0.0519,0.0236,0.0326,0.0435,0.0337
200.57,-0.0032,0.0309,0.056,0.0491,0.058,0.0549,0.052,0.0231,0.0326,0.0438,0.0315
200.97,-0.0035,0.0321,0.0523,0.0436,0.0545,0.0502,0.0474,0.0228,0.0283,0.0356,0.0282
201.36,-0.0065,0.0259,0.0525,0.0413,0.0492,0.0521,0.0472,0.02,0.0267,0.0354,0.0275
201.75,-0.0042,0.0205,0.053,0.0424,0.0512,0.0529,0.0503,0.0204,0.0276,0.0302,0.0282
202.14,-0.0036,0.0244,0.0538,0.0457,0.0521,0.0583,0.052,0.0215,0.0292,0.0292,0.0308
202.54,0.0018,0.0301,0.0565,0.0487,0.0558,0.0632,0.0543,0.0265,0.0319,0.0305,0.0348
202.93,0.0029,0.0302,0.0552,0.0437,0.0584,0.0585,0.0473,0.0279,0.0315,0.0347,0.0342
203.32,0.0049,0.03,0.0583,0.0481,0.0651,0.059,0.0501,0.0316,0.0302,0.0358,0.0367
203.71,0.0074,0.0294,0.061,0.051,0.0682,0.06,0.0559,0.0327,0.0299,0.0354,0.0396
204.11,0.0124,0.0342,0.0626,0.0529,0.0705,0.0613,0.0539,0.0364,0.039,0.0367,0.0394
204.5,0.0144,0.0367,0.0647,0.0541,0.0688,0.0605,0.0586,0.0371,0.0448,0.0362,0.0413
204.89,0.0162,0.0379,0.0584,0.0544,0.0685,0.0579,0.0553,0.0376,0.0423,0.0334,0.0432
205.28,0.0168,0.034,0.0578,0.0558,0.0674,0.059,0.0543,0.0345,0.0412,0.0392,0.0445
205.68,0.0182,0.0351,0.0569,0.0584,0.0718,0.0575,0.0535,0.0365,0.0445,0.0406,0.0472
206.07,0.0144,0.0398,0.054,0.0577,0.0689,0.0575,0.0521,0.0368,0.0487,0.0426,0.0476
206.46,0.0139,0.038,0.0562,0.0561,0.068,0.0531,0.0509,0.0339,0.0472,0.0433,0.0451
206.85,0.0127,0.0339,0.0569,0.0562,0.0667,0.0542,0.0516,0.0337,0.044,0.0442,0.0429
207.25,0.018,0.0341,0.0605,0.0631,0.0731,0.0611,0.0631,0.0369,0.0452,0.0487,0.0485
207.64,0.0189,0.0344,0.0647,0.0629,0.0768,0.066,0.0655,0.0405,0.0534,0.051,0.0509
208.03,0.0185,0.0323,0.0634,0.0621,0.0757,0.0681,0.0688,0.0403,0.0542,0.0522,0.0463
208.42,0.0151,0.0276,0.0646,0.0571,0.0718,0.0661,0.0656,0.0373,0.0475,0.049,0.0402
208.82,0.0108,0.0288,0.0649,0.0553,0.0741,0.0678,0.0649,0.0327,0.0425,0.0494,0.0379
209.21,0.0077,0.0282,0.0664,0.0523,0.0716,0.0684,0.0693,0.0316,0.0423,0.0528,0.0371
209.6,0.0069,0.0327,0.0677,0.0527,0.0751,0.0701,0.076,0.0347,0.0484,0.0535,0.0408
209.99,0.0073,0.0316,0.0682,0.054,0.0734,0.0743,0.0777,0.0331,0.0501,0.0532,0.0392
210.39,0.0132,0.0326,0.0737,0.0562,0.079,0.0756,0.0765,0.0354,0.0481,0.0546,0.0425
210.78,0.0123,0.0346,0.076,0.0556,0.082,0.0764,0.0733,0.0359,0.0502,0.0521,0.0451
211.17,0.012,0.0308,0.0714,0.0495,0.0813,0.0747,0.0701,0.0294,0.0504,0.0491,0.042
211.56,0.0094,0.0284,0.0668,0.046,0.0747,0.0694,0.0617,0.0297,0.0498,0.0448,0.0401
211.95,0.0115,0.0292,0.0673,0.0465,0.073,0.0649,0.0595,0.0233,0.0473,0.046,0.0381
212.35,0.0089,0.0334,0.0701,0.0429,0.0724,0.0627,0.0533,0.0189,0.0474,0.0455,0.0378
212.74,0.0085,0.0332,0.0688,0.0454,0.0735,0.0627,0.0531,0.0233,0.0483,0.0474,0.0387
213.13,0.0098,0.0322,0.065,0.0475,0.0657,0.059,0.0478,0.0258,0.047,0.0461,0.0369
213.52,0.0114,0.0307,0.0652,0.0482,0.0691,0.06,0.0458,0.0284,0.0475,0.0438,0.0385
213.92,0.017,0.033,0.0693,0.057,0.0738,0.0611,0.0502,0.0297,0.0513,0.046,0.0431
214.31,0.0161,0.0325,0.0701,0.0547,0.0743,0.0603,0.0484,0.031,0.0491,0.0459,0.0396
214.7,0.0159,0.0281,0.0652,0.0531,0.0723,0.0604,0.0508,0.0311,0.0458,0.045,0.0364
215.09,0.0177,0.0251,0.0622,0.0547,0.0693,0.0631,0.0528,0.0329,0.0434,0.0448,0.0326
